"full_date","speechtitle","hyperlink","name","position_cat1","type"
1998-02-24,"The Federal Reserve's semiannual report on economic conditions and the conduct of monetary policy","http://www.federalreserve.gov/boarddocs/hh/1998/february/testimony.htm","Alan Greenspan","Chairman","House"
1998-02-26,"The role of capital in optimal banking supervision and regulation","http://www.federalreserve.gov/boarddocs/speeches/1998/19980226.htm","Alan Greenspan","3","Public"
1998-02-27,"Monetary rules","http://www.federalreserve.gov/boarddocs/speeches/1998/199802272.htm","Edward M. Gramlich","1","Public"
1998-02-27,"Risk management in the global financial system","http://www.federalreserve.gov/boarddocs/speeches/1998/19980227.htm","Alan Greenspan","3","Public"
1998-03-02,"Financial globalization and efficient banking regulation","http://www.federalreserve.gov/boarddocs/speeches/1998/19980302.htm","Laurence H. Meyer","1","Public"
1998-03-03,"The current Asian crisis","http://www.federalreserve.gov/boarddocs/testimony/1998/199803032.htm","Alan Greenspan","Chairman","Senate"
1998-03-03,"The payment of interest on demand deposits and on required reserve balances","http://www.federalreserve.gov/boarddocs/testimony/1998/19980303.htm","Laurence H. Meyer","Governor","Senate"
1998-03-03,"Implications of recent Asian developments for community banking","http://www.federalreserve.gov/boarddocs/speeches/1998/19980303.htm","Alan Greenspan","3","Public"
1998-03-04,"Coming budgetary challenges","http://www.federalreserve.gov/boarddocs/testimony/1998/19980304.htm","Alan Greenspan","Chairman","House"
1998-03-04,"The Asian crisis: lessons to be learned and relearned","http://www.federalreserve.gov/boarddocs/speeches/1998/19980304.htm","Roger W. Ferguson","1","Public"
1998-03-06,"Capital budgeting","http://www.federalreserve.gov/boarddocs/speeches/1998/19980306.htm","Edward M. Gramlich","1","Public"
1998-03-09,"Bank supervision: lessons from the consulting perspective","http://www.federalreserve.gov/boarddocs/speeches/1998/19980309.htm","Roger W. Ferguson","1","Public"
1998-03-10,"S. 1405, the Financial Regulatory Relief and Economic Efficiency Act of 1997","http://www.federalreserve.gov/boarddocs/testimony/1998/19980310.htm","Laurence H. Meyer","Governor","Senate"
1998-03-16,"The strategy of monetary policy ","http://www.federalreserve.gov/boarddocs/speeches/1998/19980316.htm","Laurence H. Meyer","1","Public"
1998-03-17,"Four themes of sound international supervision ","http://www.federalreserve.gov/boarddocs/speeches/1998/19980317.htm","Susan M. Phillips","1","Public"
1998-03-19,"Next steps for D.C.","http://www.federalreserve.gov/boarddocs/speeches/1998/199803192.htm","Alice M. Rivlin","2","Public"
1998-03-19,"The changing banking environment and emerging questions for public policy ","http://www.federalreserve.gov/boarddocs/speeches/1998/19980319.htm","Roger W. Ferguson","1","Public"
1998-03-26,"Lessons and perspectives ","http://www.federalreserve.gov/boarddocs/speeches/1998/19980326.htm","Susan M. Phillips","1","Public"
1998-04-02,"The ascendance of market capitalism ","http://www.federalreserve.gov/boarddocs/speeches/1998/19980402.htm","Alan Greenspan","3","Public"
1998-04-02,"Come with me to the FOMC ","http://www.federalreserve.gov/boarddocs/speeches/1998/199804022.htm","Laurence H. Meyer","1","Public"
1998-04-04,"The Federal Reserve's role in the payments system and its effect on competition ","http://www.federalreserve.gov/boarddocs/speeches/1998/19980404.htm","Roger W. Ferguson","1","Public"
1998-04-09,"The economic outlook and the challenges facing monetary policy ","http://www.federalreserve.gov/boarddocs/speeches/1998/19980409.htm","Laurence H. Meyer","1","Public"
1998-04-16,"Are banks safe for the world and is the world safe for banks?","http://www.federalreserve.gov/boarddocs/speeches/1998/19980416.htm","Roger W. Ferguson","1","Public"
1998-04-16,"The Federal Reserve and bank supervision and regulation ","http://www.federalreserve.gov/boarddocs/speeches/1998/199804162.htm","Laurence H. Meyer","1","Public"
1998-04-20,"The allocation of the economy's resources between Medicare and competing needs","http://www.federalreserve.gov/boarddocs/testimony/1998/19980420.htm","Alan Greenspan","Chairman",""
1998-04-23,"Toward a better class of financial crises: some lessons from Asia","http://www.federalreserve.gov/boarddocs/speeches/1998/19980423.htm","Alice M. Rivlin","2","Public"
1998-04-28,"The Federal Reserve's efforts to address the Year 2000 computer problem","http://www.federalreserve.gov/boarddocs/testimony/1998/19980428.htm","Edward W. Kelley Jr.","Governor","Senate"
1998-04-29,"Mergers and acquisitions in banking and other financial services","http://www.federalreserve.gov/boarddocs/testimony/1998/199804292.htm","Laurence H. Meyer","Governor","House"
1998-04-29,"Improving the consumer price index","http://www.federalreserve.gov/boarddocs/testimony/1998/19980429.htm","Edward M. Gramlich","Governor","House"
1998-04-30,"Housing and the economy: sharing in the prosperity and broadening its base","http://www.federalreserve.gov/boarddocs/speeches/1998/19980430.htm","Laurence H. Meyer","1","Public"
1998-05-02,"Our banking history ","http://www.federalreserve.gov/boarddocs/speeches/1998/19980502.htm","Alan Greenspan","3","Public"
1998-05-07,"Understanding today's international financial system","http://www.federalreserve.gov/boarddocs/speeches/1998/19980507.htm","Alan Greenspan","3","Public"
1998-05-07,"The U.S. retail payments system","http://www.federalreserve.gov/boarddocs/speeches/1998/199805072.htm","Alice M. Rivlin","2","Public"
1998-05-12,"Community reinvestment in an era of bank consolidation and deregulation","http://www.federalreserve.gov/boarddocs/speeches/1998/19980512.htm","Laurence H. Meyer","1","Public"
1998-05-12,"Commencement address","http://www.federalreserve.gov/boarddocs/speeches/1998/199805122.htm","Alice M. Rivlin","2","Public"
1998-05-20,"On the announcement of a new currency design","http://www.federalreserve.gov/boarddocs/speeches/1998/19980520.htm","Alan Greenspan","3","Public"
1998-05-21,"The current Asian crisis and the financial resources of the IMF","http://www.federalreserve.gov/boarddocs/testimony/1998/19980521.htm","Alan Greenspan","Chairman","House"
1998-06-03,"Mergers and acquisitions in banking and other financial services","http://www.federalreserve.gov/boarddocs/testimony/1998/19980603.htm","Laurence H. Meyer","Governor","House"
1998-06-03,"Economic forecasting","http://www.federalreserve.gov/boarddocs/speeches/1998/19980603.htm","Laurence H. Meyer","1","Public"
1998-06-04,"Implications of developments in electronic commerce","http://www.federalreserve.gov/boarddocs/testimony/1998/19980604.htm","Roger W. Ferguson Jr.","Governor","House"
1998-06-09,"Issues and trends in bank regulatory policy and financial modernization legislation","http://www.federalreserve.gov/boarddocs/speeches/1998/19980609.htm","Laurence H. Meyer","1","Public"
1998-06-10,"Application of the Commodity Exchange Act to transactions in over-the-counter derivatives","http://www.federalreserve.gov/boarddocs/testimony/1998/199806102.htm","Board of s of the Federal Reserve System","Board of Governor","House"
1998-06-10,"An update on economic conditions in the United States","http://www.federalreserve.gov/boarddocs/testimony/1998/19980610.htm","Alan Greenspan","Chairman",""
1998-06-11,"Anti-money-laundering efforts and related proposed legislation","http://www.federalreserve.gov/boarddocs/testimony/1998/19980611.htm","Herbert A. Biern","Associate Director","House"
1998-06-16,"The effects of mergers","http://www.federalreserve.gov/boarddocs/testimony/1998/19980616.htm","Alan Greenspan","Chairman","Senate"
1998-06-17,"H.R. 10, the Financial Services Act of 1998","http://www.federalreserve.gov/boarddocs/testimony/1998/19980617.htm","Alan Greenspan","Chairman","Senate"
1998-06-18,"Renewed confidence and vitality of the U.S. economy and the Asian crisis","http://www.federalreserve.gov/boarddocs/speeches/1998/19980618.htm","Alice M. Rivlin","2","Public"
1998-07-09,"Exercising caution and vigilance in monetary policy","http://www.federalreserve.gov/boarddocs/speeches/1998/19980709.htm","Roger W. Ferguson","1","Public"
1998-07-10,"The implications of technological changes","http://www.federalreserve.gov/boarddocs/speeches/1998/19980710.htm","Alan Greenspan","3","Public"
